epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,249.326,0.66456,0.52833,1.08775,0.86889,0.88366,0.92741,0.74566,0.67874,0.65476,1.10781,0.0018647,0.0018647,0.0018647
43,255.122,0.67334,0.54812,1.09804,0.89667,0.72318,0.87428,0.67112,0.64914,0.67824,1.09989,0.0018614,0.0018614,0.0018614
44,260.941,0.64071,0.50241,1.06874,0.87975,0.89417,0.92727,0.7219,0.66364,0.53099,1.10144,0.0018581,0.0018581,0.0018581
45,266.762,0.66847,0.5711,1.08034,0.91215,0.86529,0.94621,0.73985,0.67684,0.55093,1.11262,0.0018548,0.0018548,0.0018548
46,272.556,0.61894,0.47961,1.0806,0.91713,0.86078,0.93682,0.77271,0.60684,0.63953,1.06004,0.0018515,0.0018515,0.0018515
47,278.355,0.61604,0.47773,1.05377,0.88309,0.90556,0.9414,0.78392,0.59833,0.54632,1.03468,0.0018482,0.0018482,0.0018482
48,284.174,0.68546,0.56419,1.08477,0.90714,0.92261,0.94669,0.81053,0.56096,0.42172,1.02345,0.0018449,0.0018449,0.0018449
49,290.012,0.63529,0.48202,1.07072,0.95115,0.86535,0.94992,0.78171,0.58352,0.48418,1.03702,0.0018416,0.0018416,0.0018416
50,295.819,0.64491,0.51913,1.06809,0.9216,0.9,0.96858,0.78753,0.58757,0.52121,1.06086,0.0018383,0.0018383,0.0018383
51,301.558,0.679,0.5042,1.08142,0.93809,0.92598,0.96961,0.77844,0.61823,0.44093,1.07754,0.001835,0.001835,0.001835
52,307.477,0.61458,0.48169,1.0534,0.93223,0.92222,0.96369,0.79297,0.61007,0.50338,1.08063,0.0018317,0.0018317,0.0018317
53,313.223,0.66647,0.50592,1.09538,0.90799,0.8772,0.94326,0.78957,0.59036,0.44844,1.04108,0.0018284,0.0018284,0.0018284
54,319.002,0.64415,0.49197,1.08762,0.92008,0.85556,0.9332,0.77133,0.62449,0.49487,1.09251,0.0018251,0.0018251,0.0018251
55,324.738,0.60883,0.46062,1.07365,0.93401,0.86497,0.946,0.78848,0.60877,0.4346,1.09595,0.0018218,0.0018218,0.0018218
56,330.522,0.61588,0.45857,1.05777,0.9442,0.87778,0.95835,0.81023,0.57462,0.42074,1.05163,0.0018185,0.0018185,0.0018185
57,336.309,0.62753,0.48147,1.0606,0.947,0.9,0.96076,0.79932,0.58438,0.43669,1.0478,0.0018152,0.0018152,0.0018152
58,342.059,0.62751,0.46529,1.05559,0.94712,0.89444,0.96733,0.79043,0.57749,0.4637,1.03326,0.0018119,0.0018119,0.0018119
59,347.837,0.62068,0.46962,1.05495,0.92646,0.93333,0.96806,0.80984,0.58642,0.41773,1.06314,0.0018086,0.0018086,0.0018086
60,353.711,0.6252,0.41885,1.06697,0.93674,0.91111,0.95891,0.79466,0.60221,0.44445,1.0766,0.0018053,0.0018053,0.0018053
61,359.548,0.63136,0.48705,1.0758,0.95355,0.9,0.95819,0.78195,0.63397,0.42557,1.0966,0.001802,0.001802,0.001802
62,365.47,0.62047,0.4705,1.07482,0.90728,0.85556,0.94592,0.78234,0.60293,0.56193,1.06833,0.0017987,0.0017987,0.0017987
63,371.304,0.60991,0.48368,1.0482,0.91662,0.85556,0.94398,0.77944,0.60281,0.45665,1.03736,0.0017954,0.0017954,0.0017954
64,377.128,0.62484,0.46709,1.06041,0.9073,0.88333,0.95916,0.76946,0.59179,0.44022,1.04579,0.0017921,0.0017921,0.0017921
65,382.995,0.60861,0.46931,1.04518,0.90911,0.94444,0.96328,0.79252,0.57639,0.4036,1.04182,0.0017888,0.0017888,0.0017888
66,388.868,0.6612,0.49745,1.07508,0.9647,0.91667,0.97213,0.78814,0.61118,0.39262,1.07591,0.0017855,0.0017855,0.0017855
67,394.733,0.57778,0.46575,1.03293,0.93592,0.89257,0.93733,0.7725,0.61868,0.47065,1.09607,0.0017822,0.0017822,0.0017822
68,400.6,0.65109,0.50266,1.08125,0.92464,0.95428,0.97121,0.79649,0.58707,0.42304,1.05402,0.0017789,0.0017789,0.0017789
69,406.419,0.60612,0.45046,1.04178,0.91291,0.93182,0.96281,0.80224,0.55365,0.36415,1.02705,0.0017756,0.0017756,0.0017756
70,412.3,0.63336,0.45559,1.08506,0.91972,0.93889,0.96603,0.80608,0.57595,0.37051,1.06162,0.0017723,0.0017723,0.0017723
71,418.165,0.56713,0.41443,1.03809,0.90524,0.93333,0.96452,0.79494,0.58621,0.4166,1.05295,0.001769,0.001769,0.001769
72,424.078,0.63512,0.48101,1.07741,0.96251,0.91111,0.97234,0.80765,0.59924,0.40899,1.06315,0.0017657,0.0017657,0.0017657
73,429.973,0.58246,0.45317,1.04431,0.91396,0.88523,0.95136,0.79207,0.56258,0.41387,1.02291,0.0017624,0.0017624,0.0017624
74,435.813,0.56603,0.4284,1.03788,0.96739,0.824,0.93954,0.77028,0.59654,0.44457,1.05047,0.0017591,0.0017591,0.0017591
75,441.677,0.61414,0.47852,1.06012,0.9124,0.92778,0.96758,0.78465,0.60945,0.41352,1.09926,0.0017558,0.0017558,0.0017558
76,447.539,0.58587,0.43208,1.06735,0.92399,0.94549,0.97204,0.80866,0.57345,0.39035,1.05237,0.0017525,0.0017525,0.0017525
77,453.343,0.58093,0.42955,1.06157,0.97053,0.91483,0.9774,0.81656,0.56954,0.39632,1.05028,0.0017492,0.0017492,0.0017492
78,459.216,0.58363,0.45374,1.05632,0.95497,0.94248,0.97431,0.81012,0.58104,0.38011,1.05123,0.0017459,0.0017459,0.0017459
79,465.036,0.59767,0.46734,1.06133,0.98732,0.92222,0.97149,0.81084,0.59247,0.40305,1.06471,0.0017426,0.0017426,0.0017426
80,470.929,0.59116,0.44792,1.03655,0.98511,0.92222,0.97312,0.80968,0.57435,0.40221,1.04858,0.0017393,0.0017393,0.0017393
81,476.744,0.58568,0.43669,1.04155,0.97223,0.91111,0.97156,0.80487,0.55692,0.39913,1.02216,0.001736,0.001736,0.001736
82,482.584,0.55073,0.40662,1.03518,0.95928,0.91612,0.96876,0.81216,0.56361,0.39597,1.00799,0.0017327,0.0017327,0.0017327
83,488.421,0.60371,0.43563,1.04813,0.95055,0.93333,0.97118,0.81003,0.52726,0.36736,0.97912,0.0017294,0.0017294,0.0017294
84,494.274,0.57857,0.4456,1.04258,0.97379,0.93889,0.97064,0.79978,0.56214,0.39666,1.02563,0.0017261,0.0017261,0.0017261
85,500.087,0.55402,0.39756,1.03211,0.95973,0.92687,0.9675,0.8182,0.58557,0.44919,1.04268,0.0017228,0.0017228,0.0017228
86,505.921,0.61793,0.46286,1.07041,0.97563,0.88952,0.96682,0.79964,0.61212,0.44012,1.06658,0.0017195,0.0017195,0.0017195
87,511.837,0.58348,0.42954,1.05688,0.94769,0.92778,0.97037,0.8086,0.57215,0.40346,1.0256,0.0017162,0.0017162,0.0017162
88,517.714,0.59898,0.44355,1.04844,0.92494,0.9,0.96256,0.78764,0.59147,0.42887,1.04621,0.0017129,0.0017129,0.0017129
89,523.562,0.56581,0.41687,1.02329,0.93793,0.92222,0.9555,0.78823,0.59058,0.49121,1.04741,0.0017096,0.0017096,0.0017096
90,529.403,0.59256,0.45002,1.07358,0.95174,0.94444,0.97081,0.81552,0.55933,0.39151,1.03139,0.0017063,0.0017063,0.0017063
91,535.247,0.57856,0.43454,1.02809,0.90775,0.93889,0.96919,0.81213,0.55681,0.38855,1.03218,0.001703,0.001703,0.001703
